workspace,routePath,file
"red-accounting-desktop","/cloudsync","apps/desktop/src/app.jsx"
"red-accounting-desktop","/profile","apps/desktop/src/app.jsx"
"red-accounting-desktop","/security","apps/desktop/src/app.jsx"
"red-accounting-desktop","/pages/settings","apps/desktop/src/app.jsx"
"red-accounting-desktop","/pages/settings/app","apps/desktop/src/app.jsx"
"red-accounting-desktop","/pages/settings/cloud-sync","apps/desktop/src/app.jsx"
"red-accounting-desktop","/pages/setting/profile","apps/desktop/src/app.jsx"
"red-accounting-desktop","/pages/settings/security-log","apps/desktop/src/app.jsx"
"business-accounting-app","/login","apps/web/src/app.jsx"
"business-accounting-app","/register","apps/web/src/app.jsx"
"business-accounting-app","/forgot-password","apps/web/src/app.jsx"
"business-accounting-app","/key-recovery","apps/web/src/app.jsx"
"business-accounting-app","/verify-otp","apps/web/src/app.jsx"
"business-accounting-app","/","apps/web/src/app.jsx"
"business-accounting-app","/dashboard","apps/web/src/app.jsx"
"business-accounting-app","/approvals","apps/web/src/app.jsx"
"business-accounting-app","/parties","apps/web/src/app.jsx"
"business-accounting-app","/fast-pos","apps/web/src/app.jsx"
"business-accounting-app","/billing","apps/web/src/app.jsx"
"business-accounting-app","/billing/list","apps/web/src/app.jsx"
"business-accounting-app","/billing/import","apps/web/src/app.jsx"
"business-accounting-app","/billing/parse","apps/web/src/app.jsx"
"business-accounting-app","/billing/return","apps/web/src/app.jsx"
"business-accounting-app","/billing/return/create","apps/web/src/app.jsx"
"business-accounting-app","/billing/b2b","apps/web/src/app.jsx"
"business-accounting-app","/billing/b2b/create","apps/web/src/app.jsx"
"business-accounting-app","/billing/:id","apps/web/src/app.jsx"
"business-accounting-app","/inventory","apps/web/src/app.jsx"
"business-accounting-app","/inventory/add","apps/web/src/app.jsx"
"business-accounting-app","/inventory/bulk","apps/web/src/app.jsx"
"business-accounting-app","/inventory/bulk-upload","apps/web/src/app.jsx"
"business-accounting-app","/inventory/analytics","apps/web/src/app.jsx"
"business-accounting-app","/inventory/purchase","apps/web/src/app.jsx"
"business-accounting-app","/inventory/adjust","apps/web/src/app.jsx"
"business-accounting-app","/inventory/list","apps/web/src/app.jsx"
"business-accounting-app","/inventory/detail/:id","apps/web/src/app.jsx"
"business-accounting-app","/inventory/batch","apps/web/src/app.jsx"
"business-accounting-app","/inventory/purchase-return","apps/web/src/app.jsx"
"business-accounting-app","/inventory/supplier-ledger","apps/web/src/app.jsx"
"business-accounting-app","/inventory/transfer","apps/web/src/app.jsx"
"business-accounting-app","/inventory/parse-purchase-bill","apps/web/src/app.jsx"
"business-accounting-app","/inventory/categories","apps/web/src/app.jsx"
"business-accounting-app","/inventory/masters","apps/web/src/app.jsx"
"business-accounting-app","/expenses","apps/web/src/app.jsx"
"business-accounting-app","/expenses/add","apps/web/src/app.jsx"
"business-accounting-app","/expenses/list","apps/web/src/app.jsx"
"business-accounting-app","/company","apps/web/src/app.jsx"
"business-accounting-app","/company/add","apps/web/src/app.jsx"
"business-accounting-app","/company/branches","apps/web/src/app.jsx"
"business-accounting-app","/company/list","apps/web/src/app.jsx"
"business-accounting-app","/coupans","apps/web/src/app.jsx"
"business-accounting-app","/coupons","apps/web/src/app.jsx"
"business-accounting-app","/coupons/list","apps/web/src/app.jsx"
"business-accounting-app","/coupons/view","apps/web/src/app.jsx"
"business-accounting-app","/coupons/generate","apps/web/src/app.jsx"
"business-accounting-app","/membership","apps/web/src/app.jsx"
"business-accounting-app","/membership/list","apps/web/src/app.jsx"
"business-accounting-app","/membership/loyalty/:id","apps/web/src/app.jsx"
"business-accounting-app","/notifications","apps/web/src/app.jsx"
"business-accounting-app","/notifications/reminders","apps/web/src/app.jsx"
"business-accounting-app","/reports","apps/web/src/app.jsx"
"business-accounting-app","/reports/gst","apps/web/src/app.jsx"
"business-accounting-app","/reports/product-gst","apps/web/src/app.jsx"
"business-accounting-app","/reports/gstr3b","apps/web/src/app.jsx"
"business-accounting-app","/reports/itemwise","apps/web/src/app.jsx"
"business-accounting-app","/reports/itemwise-page","apps/web/src/app.jsx"
"business-accounting-app","/reports/billwise","apps/web/src/app.jsx"
"business-accounting-app","/reports/customer","apps/web/src/app.jsx"
"business-accounting-app","/reports/partywise","apps/web/src/app.jsx"
"business-accounting-app","/reports/profitloss","apps/web/src/app.jsx"
"business-accounting-app","/reports/scheme","apps/web/src/app.jsx"
"business-accounting-app","/reports/supplier-ledger","apps/web/src/app.jsx"
"business-accounting-app","/reports/daybook","apps/web/src/app.jsx"
"business-accounting-app","/reports/sitewise","apps/web/src/app.jsx"
"business-accounting-app","/reports/aging","apps/web/src/app.jsx"
"business-accounting-app","/reports/analytics","apps/web/src/app.jsx"
"business-accounting-app","/reports/bank-reconciliation","apps/web/src/app.jsx"
"business-accounting-app","/reports/eway-bill","apps/web/src/app.jsx"
"business-accounting-app","/reports/fixed-assets","apps/web/src/app.jsx"
"business-accounting-app","/reports/tds-tcs","apps/web/src/app.jsx"
"business-accounting-app","/salary","apps/web/src/app.jsx"
"business-accounting-app","/salary/add","apps/web/src/app.jsx"
"business-accounting-app","/salary/attendance","apps/web/src/app.jsx"
"business-accounting-app","/salary/statement","apps/web/src/app.jsx"
"business-accounting-app","/salary/list","apps/web/src/app.jsx"
"business-accounting-app","/banking","apps/web/src/app.jsx"
"business-accounting-app","/laterpad","apps/web/src/app.jsx"
"business-accounting-app","/laterpad/list","apps/web/src/app.jsx"
"business-accounting-app","/warehouse/add","apps/web/src/app.jsx"
"business-accounting-app","/warehouse/list","apps/web/src/app.jsx"
"business-accounting-app","/warehouse","apps/web/src/app.jsx"
"business-accounting-app","/settings","apps/web/src/app.jsx"
"business-accounting-app","/settings/app","apps/web/src/app.jsx"
"business-accounting-app","/settings/backup","apps/web/src/app.jsx"
"business-accounting-app","/settings/profile","apps/web/src/app.jsx"
"business-accounting-app","/settings/security","apps/web/src/app.jsx"
"business-accounting-app","/settings/web","apps/web/src/app.jsx"
"business-accounting-app","/settings/staff","apps/web/src/app.jsx"
"business-accounting-app","/settings/whatsapp","apps/web/src/app.jsx"
"business-accounting-app","/settings/units","apps/web/src/app.jsx"
"business-accounting-app","/settings/performance","apps/web/src/app.jsx"
"business-accounting-app","/pages/settings","apps/web/src/app.jsx"
"business-accounting-app","/pages/settings/app","apps/web/src/app.jsx"
"business-accounting-app","/pages/settings/cloud-sync","apps/web/src/app.jsx"
"business-accounting-app","/pages/settings/profile","apps/web/src/app.jsx"
"business-accounting-app","/pages/settings/security-log","apps/web/src/app.jsx"
"website","/","apps/website/src/App.jsx"
"website","/about","apps/website/src/App.jsx"
"website","/pricing","apps/website/src/App.jsx"
"website","/faq","apps/website/src/App.jsx"
"website","/help","apps/website/src/App.jsx"
